"card_id","card_name","category","subtype","attack_range","use_timing","trigger_timing","target_rule","response_card","base_effect","damage_amount","damage_type","use_limit","specific_timing","inherits_generic_timing","base_use_limit","inherits_generic_use_limit","response_only","skill_override_allowed","can_recast","equipment_slot","delayed_trick","placement_zone","judgment_condition","success_effect","failure_effect","transfer_rule","skipped_phase","confidence_status","source_type","notes","use_context","default_timing","response_window","can_be_responded_by_card","can_be_invalidated_by_skill","counts_as_used_if_invalidated","effect_resolved_if_invalidated","after_resolution_trigger_if_invalidated","inherits_generic_rule","use_modes","is_static_damage_card","is_damage_trick","is_normal_trick","is_delayed_trick","target_template","distance_rule_source","uses_attack_range","can_target_self","converted_slash_uses_limit","wufei_source_replacement_eligible"
"sgs_basic_sha","杀","基本牌","普通杀","","出牌阶段","","攻击范围内的一名角色","闪","目标未使用【闪】抵消时受到伤害","1","无属性","通常每个出牌阶段只能使用1张“杀”；可被武器、技能或模式规则修改","","","","","","","","","","","","","","","","用户整理解释","用户整理并修订的规则说明","文档中单独写“杀”作为统称时，包括【杀】【雷杀】【火杀】；响应者须使用【闪】，该响应只生成card_used事件","","","","","","","","","","","true","","","","one_character_in_attack_range","attack_range","true","false","","true"
"sgs_basic_leisha","雷杀","基本牌","属性杀","","出牌阶段","","攻击范围内的一名角色","闪","目标未使用【闪】抵消时受到雷属性伤害","1","雷属性","计入通常的“杀”使用次数","","","","","","","","","","","","","","","","用户整理解释","用户整理并修订的规则说明","响应者须使用【闪】，该响应只生成card_used事件","","","","","","","","","","","true","","","","one_character_in_attack_range","attack_range","true","false","","true"
"sgs_basic_huosha","火杀","基本牌","属性杀","","出牌阶段","","攻击范围内的一名角色","闪","目标未使用【闪】抵消时受到火属性伤害","1","火属性","计入通常的“杀”使用次数","","","","","","","","","","","","","","","","用户整理解释","用户整理并修订的规则说明","响应者须使用【闪】，该响应只生成card_used事件","","","","","","","","","","","true","","","","one_character_in_attack_range","attack_range","true","false","","true"
"sgs_basic_shan","闪","基本牌","","","","普通【杀】、【火杀】、【雷杀】或【万箭齐发】要求提供【闪】时","自己","杀；万箭齐发","动作类型由响应对象决定：响应杀时使用；响应万箭齐发时打出","","","没有独立统一次数额度；每次仍须处于合法响应窗口并有实体牌或合法提供方式","","","","","","","","","","","","","","","","当前确认","用户整理并修订的规则说明","响应普通【杀】、【火杀】或【雷杀】时只生成card_used；响应【万箭齐发】时只生成card_played；两种均计入【蒺藜】，只有前者进入第一张使用牌检查；详细响应上下文以《三国杀卡牌使用方式.csv》为结构化来源","multiple_modes","context_dependent","response_context","false","false","false","false","false","false","","false","","","","","","","","","false"
"sgs_basic_tao","桃","基本牌","","","自己的出牌阶段（受伤时对自己）；合法濒死救援窗口（自救或救援其他角色）","使用后结算回复；濒死救援按合法救援顺序与当前救援机会处理","自己的出牌阶段仅以受伤的自己为目标；濒死救援窗口以仍处于濒死的自己或其他角色为目标","无普通卡牌响应；【无懈可击】不能响应；明确技能或特殊效果可在结算前无效","合法使用并完成效果结算后，目标回复1点体力，但不超过体力上限","","","三种用途均无基础次数限制且不共享额度；每次仍须满足对应时机、目标状态并支付实体牌或合法转化资源","","","context_dependent","false","false","true","","","","","","","","","","当前确认","用户整理并修订的规则说明","三种用途分别为出牌阶段自我回复、濒死自救、救援其他濒死角色，均无基础次数限制且不共享额度。无限制不绕过实体牌或合法转化、时机、受伤或濒死、目标与模式/技能覆盖条件。目标恢复至体力上限后不能继续普通自我回复；目标恢复至至少1点后本次濒死救援立即结束。技能明确令效果无效时仍算已使用且成本已支付，但不回复体力，也不产生效果结算完成或结算后事件。；各用途明细以《三国杀卡牌使用方式.csv》为唯一结构化来源","multiple_modes","context_dependent","none","false","true","true","false","false","false","","false","","","","","","","","","false"
"sgs_basic_jiu","酒","基本牌","","","自己的回合内；自己进入濒死状态时","","自己","无（不产生普通卡牌响应窗口）","自己的回合内使用后，本回合下一张“杀”伤害+1；自己濒死时恢复1点体力","","","濒死自救无基础次数限制；强化杀每个独立出牌阶段限一次","","","context_dependent","false","false","true","","","","","","","","","","当前确认","用户整理并修订的规则说明","濒死自救只能对自己使用且不消耗强化杀额度；强化杀额度在新的独立出牌阶段重置；不能被无懈可击响应；技能明确无效时仍算已使用并消耗相应用途额度，但不产生回复、强化杀或结算后事件；各用途明细以《三国杀卡牌使用方式.csv》为唯一结构化来源","multiple_modes","context_dependent","none","false","true","true","false","false","false","","false","","","","","","","","","false"
"sgs_trick_guohechaiqiao","过河拆桥","锦囊牌","普通锦囊","","出牌阶段","","一名其他角色","","弃置目标区域内的一张牌","","","无基础每回合次数限制","","trick_play_phase","unlimited","true","false","true","","","否","","","","","","","用户整理解释","用户整理并修订的规则说明","","","","","","","","","","","","false","false","true","false","one_other_character","card_definition","false","false","true","false"
"sgs_trick_shunshouqianyang","顺手牵羊","锦囊牌","普通锦囊","","出牌阶段","","与使用者实际距离为1的一名其他角色","","获得目标区域内的一张牌","","","无基础每回合次数限制","","trick_play_phase","unlimited","true","false","true","","","否","","","","","","","当前确认","用户整理并修订的规则说明","检查经过座次、坐骑及其他距离修正后的实际距离；武器攻击范围不影响该距离条件","","","","","","","","","","","false","false","true","false","one_other_character","actual_distance_1","false","false","true","false"
"sgs_trick_juedou","决斗","锦囊牌","普通锦囊","","出牌阶段","","一名其他角色","杀","从目标开始，双方轮流打出【杀】，停止或无法继续的一方受到伤害","1","无属性","无基础每回合次数限制","","trick_play_phase","unlimited","true","false","true","","","否","","","","","","","用户整理解释","用户整理并修订的规则说明","未注明属性，按当前确认的通用规则为无属性伤害；另一方为伤害来源","","","","","","","","","","","true","true","true","false","one_other_character","card_definition","false","false","true","true"
"sgs_trick_huogong","火攻","锦囊牌","普通锦囊","","出牌阶段","","一名有至少一张手牌的角色，可包括自己","","目标展示一张手牌；使用者可弃置一张同花色手牌并造成火属性伤害","1","火属性","无基础每回合次数限制","","trick_play_phase","unlimited","true","false","true","","","否","","","","","","","当前确认","用户整理并修订的规则说明","结算到展示步骤时若目标已无手牌，不展示牌且本次结算直接结束","","","","","","","","","","","true","true","true","false","one_character_including_self","card_definition","false","true","true","true"
"sgs_trick_tiesuolianhuan","铁索连环","锦囊牌","普通锦囊","","出牌阶段","","一名或两名角色，可包括自己","","切换目标横置状态；或重铸后摸1张牌","","","无基础每回合次数限制","","trick_play_phase","unlimited","true","false","true","是","","否","","","","","","","用户整理解释","用户整理并修订的规则说明","重铸为置入弃牌堆后摸1张牌，不等同于弃置；横置属性伤害传导仅由实际受到大于0点的火属性或雷属性伤害触发，按基础术语中的当前确认规则逐人动态结算","","","","","","","","","","","false","false","true","false","one_or_two_characters_including_self","card_definition","false","true","true","false"
"sgs_trick_jiedaosharen","借刀杀人","锦囊牌","普通锦囊","","出牌阶段","","一名装备区有武器牌的其他角色；并指定其攻击范围内的一名角色","杀","令目标对指定角色使用一张【杀】；若未如此做，使用者获得其武器牌","","","无基础每回合次数限制","","trick_play_phase","unlimited","true","false","true","","","否","","","","","","","用户整理解释","用户整理并修订的规则说明","","","","","","","","","","","","false","false","true","false","armed_character_plus_designated_slash_target","original_trick_relation","false","false","true","false"
"sgs_trick_wuzhongshengyou","无中生有","锦囊牌","普通锦囊","","出牌阶段","","自己","","摸2张牌","","","无基础每回合次数限制","","trick_play_phase","unlimited","true","false","true","","","否","","","","","","","用户整理解释","用户整理并修订的规则说明","","","","","","","","","","","","false","false","true","false","self","card_definition","false","true","true","false"
"sgs_trick_nanmanruqin","南蛮入侵","锦囊牌","普通锦囊","","出牌阶段","","除使用者外的所有角色，依次结算","杀","未打出【杀】的目标受到1点无属性伤害","1","无属性","无基础每回合次数限制","","trick_play_phase","unlimited","true","false","true","","","否","","","","","","","当前确认","用户整理并修订的规则说明","默认伤害来源为使用者；特殊效果明确转换伤害属性时按其处理；藤甲仍令此牌无效，除非防具被无视、失效或离开装备区","","","","","","","","","","","true","true","true","false","all_other_characters","card_definition","false","false","true","true"
"sgs_trick_wanjianqifa","万箭齐发","锦囊牌","普通锦囊","","出牌阶段","","除使用者外的所有角色，依次结算","闪","未打出【闪】的目标受到1点无属性伤害","1","无属性","无基础每回合次数限制","","trick_play_phase","unlimited","true","false","true","","","否","","","","","","","当前确认","用户整理并修订的规则说明","默认伤害来源为使用者；特殊效果明确转换伤害属性时按其处理；藤甲仍令此牌无效，除非防具被无视、失效或离开装备区","","","","","","","","","","","true","true","true","false","all_other_characters","card_definition","false","false","true","true"
"sgs_trick_wugufengdeng","五谷丰登","锦囊牌","普通锦囊","","出牌阶段","","所有角色","","亮出牌堆顶等于当前玩家数量的牌，从使用者开始各角色依次选择并获得1张","","","无基础每回合次数限制","","trick_play_phase","unlimited","true","false","true","","","否","","","","","","","用户整理解释","用户整理并修订的规则说明","","","","","","","","","","","","false","false","true","false","all_characters","card_definition","false","true","true","false"
"sgs_trick_taoyuanjieyi","桃园结义","锦囊牌","普通锦囊","","出牌阶段","","所有已受伤角色","","每名已受伤角色恢复1点体力","","","无基础每回合次数限制","","trick_play_phase","unlimited","true","false","true","","","否","","","","","","","用户整理解释","用户整理并修订的规则说明","未受伤角色不恢复","","","","","","","","","","","false","false","true","false","all_wounded_characters","card_definition","false","true","true","false"
"sgs_trick_wuxiekeji","无懈可击","锦囊牌","普通锦囊","","合法锦囊响应窗口","锦囊牌即将对一名角色产生效果时；延时锦囊在判定阶段即将判定前","一张锦囊牌对一名角色的效果","无懈可击","抵消一张锦囊牌对一名角色的效果","","","无基础每回合次数限制","trick_response_window","false","unlimited","true","true","true","","","否","","","","","","","当前确认","用户整理并修订的规则说明","不限伤害、负面或敌方锦囊；多目标锦囊逐名结算，一张无懈只抵消对当前角色的效果；本身可被后续【无懈可击】抵消；延时锦囊刚进入判定区时不能立即无懈","","","","","","","","","","","false","false","true","false","one_trick_effect_on_one_character","card_definition","false","false","","false"
"sgs_delayed_lebusi","乐不思蜀","锦囊牌","延时锦囊","","出牌阶段","判定阶段即将判定、决定是否生效之前","判定区内没有【乐不思蜀】的一名其他角色","无懈可击","置入目标判定区；结算时先处理无懈时机，未被抵消再判定","","","无基础每回合次数限制","","trick_play_phase","unlimited","true","false","true","","","是","目标角色的判定区","判定结果不为红桃","目标跳过出牌阶段，结算后置入弃牌堆","判定为红桃时不跳过出牌阶段，结算后置入弃牌堆","被无懈或判定完成后置入弃牌堆；不转移","出牌阶段","当前确认","用户整理并修订的规则说明","选择目标时检查同名延时锦囊，技能直接置入也不得形成同名共存；刚进入判定区时不能无懈；被无懈后不判定、不跳过阶段并置入弃牌堆；若角色跳过整个判定阶段，本回合不进入无懈或判定流程，本牌继续留在原判定区；置入弃牌堆不自动等同于某角色执行弃置","","","","","","","","","","","false","false","false","true","one_other_character","card_definition","false","false","","false"
"sgs_delayed_bingliang","兵粮寸断","锦囊牌","延时锦囊","","出牌阶段","判定阶段即将判定、决定是否生效之前","判定区内没有【兵粮寸断】且与使用者实际距离为1的一名其他角色","无懈可击","置入目标判定区；结算时先处理无懈时机，未被抵消再判定","","","无基础每回合次数限制","","trick_play_phase","unlimited","true","false","true","","","是","目标角色的判定区","判定结果不为梅花","目标跳过摸牌阶段，结算后置入弃牌堆","判定为梅花时不跳过摸牌阶段，结算后置入弃牌堆","被无懈或判定完成后置入弃牌堆；不转移","摸牌阶段","当前确认","用户整理并修订的规则说明","选择目标时检查同名延时锦囊，技能直接置入也不得形成同名共存；目标限制检查经过座次、坐骑及其他距离修正后的实际距离，武器攻击范围不影响该限制；刚进入判定区时不能无懈；被无懈后不判定、不跳过阶段并置入弃牌堆；若角色跳过整个判定阶段，本回合不进入无懈或判定流程，本牌继续留在原判定区；置入弃牌堆不自动等同于某角色执行弃置","","","","","","","","","","","false","false","false","true","one_other_character","actual_distance_1","false","false","","false"
"sgs_delayed_shandian","闪电","锦囊牌","延时锦囊","","出牌阶段","判定阶段即将判定、决定是否生效之前","自己；自己的判定区内没有【闪电】","无懈可击","置入自己的判定区；结算时先处理无懈时机，未被抵消再判定","3","雷属性","无基础每回合次数限制","","trick_play_phase","unlimited","true","false","true","","","是","当前结算角色的判定区","判定结果为黑桃2至9","当前角色受到3点雷属性伤害，完整结算后置入弃牌堆","未命中时不造成该伤害并移至下家判定区","被无懈或判定未命中时移至下家判定区；判定命中后置入弃牌堆","","当前确认","用户整理并修订的规则说明","选择使用或技能直接置入时不得形成同名延时锦囊共存；刚进入判定区时不能无懈；被无懈后不判定、不造成伤害并转移；若角色跳过整个判定阶段，本回合不进入无懈或判定流程，本牌继续留在原判定区；该伤害没有伤害来源；下家按结算时当前存活角色环沿座次数递增方向的下一名角色确定，跳过死亡座次；置入弃牌堆不自动等同于弃置","","","","","","","","","","","true","true","false","true","self","card_definition","false","true","","false"
"sgs_weapon_zhugeliannu","诸葛连弩","装备牌","武器","1","自己的出牌阶段主动装备","使用“杀”时","自己","不适用（装备牌使用本身无普通卡牌响应窗口）","使用“杀”无次数限制","","","主动装备无基础每回合或每个出牌阶段次数限制；装备后效果独立限制按具体条目","","","unlimited","true","false","true","","武器","","装备区","","","","","","用户整理解释","用户整理并修订的规则说明","结构化使用字段描述主动装备：无基础次数限制、无普通卡牌响应窗口；技能明确无效时仍算已使用但不进入装备区、不触发装备成功或结算后事件，实体牌去向按具体无效化规则；装备效果未明示次数限制时，每次满足触发与支付条件均可发动或生效；程序硬上限不是规则限制","equip","own_play_phase","none","false","true","true","false","false","true","","false","","","","","","","","","false"
"sgs_weapon_qinggangjian","青釭剑","装备牌","武器","2","自己的出牌阶段主动装备","使用“杀”指定目标时","该“杀”的目标","不适用（装备牌使用本身无普通卡牌响应窗口）","无视目标防具","","","主动装备无基础每回合或每个出牌阶段次数限制；装备后效果独立限制按具体条目","","","unlimited","true","false","true","","武器","","装备区","","","","","","用户整理解释","用户整理并修订的规则说明","仅限使用“杀”时无视，不代表其他结算也无视；结构化使用字段描述主动装备：无基础次数限制、无普通卡牌响应窗口；技能明确无效时仍算已使用但不进入装备区、不触发装备成功或结算后事件，实体牌去向按具体无效化规则；装备效果未明示次数限制时，每次满足触发与支付条件均可发动或生效；程序硬上限不是规则限制","equip","own_play_phase","none","false","true","true","false","false","true","","false","","","","","","","","","false"
"sgs_weapon_hanbingjian","寒冰剑","装备牌","武器","2","自己的出牌阶段主动装备","使用“杀”将要造成伤害时","该“杀”的目标","不适用（装备牌使用本身无普通卡牌响应窗口）","可以防止此伤害并弃置目标2张牌","","","主动装备无基础每回合或每个出牌阶段次数限制；装备后效果独立限制按具体条目","","","unlimited","true","false","true","","武器","","装备区","","","","","","用户整理解释","用户整理并修订的规则说明","无论原伤害多少，发动一次只弃2张；目标仅有1张时只弃1张；没有牌时无法弃牌；结构化使用字段描述主动装备：无基础次数限制、无普通卡牌响应窗口；技能明确无效时仍算已使用但不进入装备区、不触发装备成功或结算后事件，实体牌去向按具体无效化规则；装备效果未明示次数限制时，每次满足触发与支付条件均可发动或生效；程序硬上限不是规则限制","equip","own_play_phase","none","false","true","true","false","false","true","","false","","","","","","","","","false"
"sgs_weapon_cixiongshuanggujian","雌雄双股剑","装备牌","武器","2","自己的出牌阶段主动装备","使用“杀”指定一名异性角色为目标时","该异性目标","不适用（装备牌使用本身无普通卡牌响应窗口）","目标选择令使用者摸1张牌，或自己弃置1张牌","","","主动装备无基础每回合或每个出牌阶段次数限制；装备后效果独立限制按具体条目","","","unlimited","true","false","true","","武器","","装备区","","","","","","用户整理解释","用户整理并修订的规则说明","结构化使用字段描述主动装备：无基础次数限制、无普通卡牌响应窗口；技能明确无效时仍算已使用但不进入装备区、不触发装备成功或结算后事件，实体牌去向按具体无效化规则；装备效果未明示次数限制时，每次满足触发与支付条件均可发动或生效；程序硬上限不是规则限制","equip","own_play_phase","none","false","true","true","false","false","true","","false","","","","","","","","","false"
"sgs_weapon_gudingdao","古锭刀","装备牌","武器","2","自己的出牌阶段主动装备","对没有手牌的角色使用“杀”时","该“杀”的目标","不适用（装备牌使用本身无普通卡牌响应窗口）","该“杀”伤害+1","","","主动装备无基础每回合或每个出牌阶段次数限制；装备后效果独立限制按具体条目","","","unlimited","true","false","true","","武器","","装备区","","","","","","用户整理解释","用户整理并修订的规则说明","结构化使用字段描述主动装备：无基础次数限制、无普通卡牌响应窗口；技能明确无效时仍算已使用但不进入装备区、不触发装备成功或结算后事件，实体牌去向按具体无效化规则；装备效果未明示次数限制时，每次满足触发与支付条件均可发动或生效；程序硬上限不是规则限制","equip","own_play_phase","none","false","true","true","false","false","true","","false","","","","","","","","","false"
"sgs_weapon_qinglongyanyuedao","青龙偃月刀","装备牌","武器","3","自己的出牌阶段主动装备","使用的“杀”被【闪】响应后","该“杀”的目标","不适用（装备牌使用本身无普通卡牌响应窗口）","可继续对该目标使用一张“杀”","","","主动装备无基础每回合或每个出牌阶段次数限制；装备后效果独立限制按具体条目","","","unlimited","true","false","true","","武器","","装备区","","","","","","用户整理解释","用户整理并修订的规则说明","结构化使用字段描述主动装备：无基础次数限制、无普通卡牌响应窗口；技能明确无效时仍算已使用但不进入装备区、不触发装备成功或结算后事件，实体牌去向按具体无效化规则；装备效果未明示次数限制时，每次满足触发与支付条件均可发动或生效；程序硬上限不是规则限制","equip","own_play_phase","none","false","true","true","false","false","true","","false","","","","","","","","","false"
